id,Description,Category
140,UPI-BookMyShow Razo-HDFC0000240--Big Tree Entertainme,Entertainment
141,RupayPOS:LOOKS SALON PUNE ,Entertainment
142,RupayPOS:THE SHELAR AUTOMOTIVE PUNE ,Automobile
143,RupayPOS:BURGER KING INDIA PVT PUNE ,Food
144,RupayPOS:ufo fries and corn PUNE ,Food
145,:NFS:CW:BOB PUNE ,Cash Withdrawal
146,RupayECom:PayUwwwdominoscoin Noida ,Food
147,RupayPOS:YADAV SERVICE STATI PUNE ,Travel
148,UPI-bookmyshow-UTIB0000000--payU,Entertainment
149,RupayECom:AIRTELMONEY Mumbai ,Recharge
150,RupayPOS:MAC ENTERPRISES PUNE ,Shopping
151,RupayPOS:W PUNE ,Ignore
152,RupayPOS:J W MARRIOTT PUNE PUNE ,Food
153,ABB RCR06-RUPAYTXNDT181021,Ignore
154,RupayPOS:TRAVEL CLUB CHENNAI ,Travel
155,RupayPOS:YADAV PUNE ,Food
156,RupayPOS:GAGAN AUTO LLP PUNE ,Automobile
157,RupayPOS:MSWTWO AND TWO HOSPIT Pune ,Ignore
158,RupayPOS:WHITE COPPER PUNE ,Ignore
159,RupayPOS:AUTO CARE CENTRE COCO MUMBAI ,Automobile
160,RupayPOS:SHREE YADUNANDAN FOODS KHOPOLI ,Food
161,RupayPOS:TATA STARBUCKS MUMBAI ,Food
162,RupayPOS:GULPING GOBLINS PUNE ,Ignore
163,RupayPOS:NEW BALAJI TRADERS PUNE ,Shopping
164,RupayPOS:ANAND MEDICAL PUNE ,Health Care
165,RupayPOS:MSWCOCOA PATISSERIE Pune ,Food
166,RupayPOS:MASALABAR PUNE ,Food
167,RupayPOS:SURE PETROLEUM PUNE ,Travel
168,RupayPOS:SWAROVSKI PUNE ,Shopping
169,RupayPOS:MOD MAKETCITY II PUNE ,Food
170,:NFS:CW:PHOENIX MARKET PUNE ,Cash Withdrawal
171,:NFS:CW:RENUKA NAGARI WADGAON PUNE ,Cash Withdrawal
172,UPI-DECATHLON SPORT-SCBL0036073--PAYDECA,UPI
173,RupayECom:ZAAK EPAYMENT SERVICES MUMBAI ,Shopping
174,RupayECom:ZAAK EPAYMENT SERVICES MUMBAI ,Shopping
175,:NFS:CW:PUNE RAILWAY STATION PUNE CITY ,Cash Withdrawal
176,UPI-Paytm Mall-PYTM0123456--Oid6604345479@PAYTME,Paytm
177,RupayPOS:MY WING HONDA PUNE ,Automobile
178,RupayECom:HTTP WWW ZOMATO COM NEW DELHI DLIN:,Food
179,RupayPOS:SHAHID LT COL PRAKASH PUNE ,Travel
180,:NFS:CW:OPP ABHIRUCHI MALL PUNE ,Cash Withdrawal
181,RupayPOS:THE SANDWICH SHOP PUNE ,Food
182,RupayPOS:RAJ WINES PUNE ,Food
183,UPI-Golden Dragon-PYTM0123456--Oid20181201222159000,UPI
184,RupayPOS:WADESHWAR PUNE ,Food
185,RupayPOS:WELL WISHER PUNE ,Ignore
186,To SMS Chg,Ignore
187,RupayECom:PayUwwwzoomcarcom Bangalore ,Travel
188,RupayPOS:PH SAPPHIRE PUNE ,Ignore
189,RupayPOS:TATA STARBUCKS PUNE ,Food
190,Singhad Tea Stall,Food
191,RupayPOS:R K WINES Pune ,Food
192,02-01-2019 : CHG : Oth Bk ATM C-W Decline: ,Ignore
193,P2A-900316234383--PYTM0123456-,Bank Transfer
194,UPI-Ram Krishnan-PYTM0123456--Money Added to Paytm,Paytm
195,RupayPOS:SAIFEE MOBILE PUNE ,Recharge
196,RupayPOS:INDIAN SOUVINERS ART A PUNE ,Shopping
197,UPI-MANDAL ANURAG--Paytm,Paytm
198,RupayPOS:RISHIKA MOTORS PUNE ,Automobile
199,RupayPOS:KOTHRUD PETROL CIRCLE PUNE ,Travel
200,RupayPOS:SPICE CLUB PUNE ,Food
201,RupayPOS:PHOENIX MARKET CITY MA PUNE ,Shopping
202,:NFS:CW:Phoenix Viman Nagar Rd Pune ,Cash Withdrawal
203,RupayPOS:H AND M HENNES AND MAU PUNE ,Shopping
204,RupayPOS:MADURA FASHION LIFES PUNE ,Shopping
205,UPI-Ram Krishnan-PYTM0123456--Money Added to Paytm,Paytm
206,RupayPOS:PH SAPPHIRE PUNE ,Ignore
207,RupayECom:PayUwwwzoomcarcom Bangalore ,Travel
208,RupayPOS:HENNYS GOURMET PUNE ,Food
209,UPI-BharatPe Mercha-YESB0000001-000187200018251-Verified Merchant,UPI
210,UPI-OM PRAKASH DEVA-SBIN0007257-0000002008307128-UPI,UPI
211,:NFS:CW:JADHAV NGR WADGAON BK PUNE ,Cash Withdrawal
212,RupayPOS:MY WING SINHGAD BRANCH PUNE ,Automobile
213,RupayECom:shoppaytmPayTM Mumbai ,Paytm
214,RupayPOS:SHAHID LT COL PUNE ,Travel
215,RupayPOS:MANDAR MOTORS PVT LTD PUNE ,Automobile
216,RupayPOS:PEPE PUNE ,Shopping
217,Mauli Wadapav,Food
218,welcomeb to khau gali,Food
219,RupayPOS:PHOENIX MARKET CITY MA PUNE ,Shopping
220,RupayPOS:H AND M HENNES AND MAU PUNE ,Shopping
221,RupayPOS:CROSSWORD PUNE ,Shopping
222,RupayPOS:ARCHIES PUNE ,Shopping
223,RupayPOS:KAYANI BAKERY PUNE ,Food
224,RupayPOS:PH SAPPHIRE PUNE ,Ignore
225,RupayPOS:ARCHIES PUNE ,Shopping
226,RupayPOS:LIFE STYLE PUNE ,Shopping
227,RupayPOS:KALINGA RESTAURANT PUNE ,Food
228,RupayPOS:CHPS HOSPITALITY LLP PUNE ,Ignore
229,RupayECom:SAVITRIBAI PHULE PUNE UPUNE ,Education
230,RupayPOS:GREENLINE PHARMACY AND PUNE ,Shopping
231,RupayPOS:BALAJI PETROLEUM PUNE ,Travel
232,RupayPOS:DMART AVENUE PUNE ,Shopping
233,RupayPOS:DMART AVENUE PUNE ,Shopping
234,RupayPOS:HOTEL KAARTHIK VEG PUDUCHERRY ,Food
235,RupayPOS:KATAKIRRR PUNE ,Food
236,RupayECom:ZOOMCAR INDIA PRIVATE LBangalore KAIN:,Travel
237,12-02-2019 : CHG : CARD AMC FEB19  Other Charges,Ignore
238,UPI-Miss SRISHTI,Food
239,RupayECom:BOOKMYSHOW Mumbai ,Entertainment
240,RupayPOS:PH SAPPHIRE PUNE ,Ignore
241,RupayECom:ZAAK EPAYMENT SERVICES MUMBAI ,Shopping
242,RupayPOS:RELIANCE PUNE ,Shopping
243,UPI-Dineout-PYTM0123456--OidORDER3108268@Time,UPI
244,RupayPOS:RISHIKA MOTORS PUNE ,Automobile
245,:NFS:CW:BHARGAV HOUSE PUNE ,Cash Withdrawal
246,RupayECom:SAVITRIBAI PHULE PUNE UPUNE ,Education
247,UPI-Aarush multisev-PYTM0123456--NA,UPI
248,Uttam sweets,Food
249,RupayECom:ZAAK EPAYMENT SERVICES MUMBAI ,Shopping
250,:NFS:CW:UTTAMMOTI SADASHIV NGR PUNE ,Cash Withdrawal
251,RupayPOS:PVR PUNE ,Entertainment
252,RupayPOS:ARCHIES PUNE ,Shopping
253,RupayPOS:BHARAT PETROL DEPOT PUNE ,Travel
254,Kekiz The Cake ,Food
255,RupayPOS:HEADS UP FOR TAILS PUNE ,Shopping
256,S baba,Food
257,:NFS:CW:BOB PUNE ,Cash Withdrawal
258,:NFS:CW:BOB PUNE ,Cash Withdrawal
259,RupayPOS:GOKUL LITTLE CHAINA PUNE ,Food
260,RupayPOS:DMART AVENUE PUNE ,Shopping
261,RupayPOS:MSWARIHANT MEDICALS Pune ,Health Care
262,:NFS:CW:INDUSIND BANK LIMITED PUNE ,Cash Withdrawal
263,RupayECom:ZAAK EPAYMENT SERVICES MUMBAI ,Shopping
264,RupayPOS:PHOENIX MARKET CITY MA PUNE ,Shopping
265,RupayECom:PayUwwwzoomcarcom Bangalore ,Travel
266,RupayPOS:ROHIT ENTERPRISES Pune ,Shopping
267,RupayPOS:PREMIER SUPPLY PUNE ,Shopping
268,RupayECom:DOMINOS Mumbai ,Food
269,RupayPOS:MY WING SINHGAD BRANCH PUNE ,Automobile
270,RupayPOS:THE VEG CULTURE PUNE ,Food
271,RupayPOS:PARAMHANS PURE VEG PUNE ,Food
272,RupayPOS:JYOTI PETROLEUM PUNE ,Travel
273,RupayPOS:MY WING SINHGAD BRANCH PUNE ,Automobile
274,RupayECom:ZAAK EPAYMENT SERVICES MUMBAI ,Shopping
275,RupayPOS:PVR LIMITED PUNE ,Entertainment
276,RupayPOS:PVR LIMITED PUNE ,Entertainment
277,RupayPOS:WHITE COPPER PUNE ,Ignore
278,RupayECom:ZOOMCAR IN GURGAON HRIN:,Travel
279,RupayPOS:MC DONALDS MUMBAI ,Food
280,RupayPOS:MSWRATAN TELECOM Mumbai ,Recharge
281,RupayPOS:MEP INFRASTRUCTURE LTD THANE ,Travel
282,:NFS:CW:SHOP NO12 CARWAN BUILDNAVI MUMBAI ,Cash Withdrawal
283,Restaurant,Food
284,UPI-AAYUSHI SOMANI----Vodafone recharge,Recharge
285,HOT CHIPS,Food
286,UPI-IRCTC Web UPI-PYTM0123456--Oid100001810644420@I,UPI
287,RupayECom:FREECHARGE Mumbai ,Recharge
288,RupayECom:SWIGGY Mumbai ,Food
289,RupayPOS:ANAND VEG PUNE ,Food
290,Cafe Creme,Food
291,Xerox,Other
292,RupayPOS:CAFE COFFEE DAY WIPRO CAMPUS ,Food
293,RupayPOS:HOTEL KAARVI PUNE ,Food
294,RupayPOS:MHAISKAR INFRASTRUCTUR TALEGAON ,Travel
295,RupayPOS:MHAISKAR INFRASTRUCTUR TALEGAON ,Travel
296,RupayECom:PAYTM NOIDA ,Paytm
297,RupayPOS:CENTRAL PUNE ,Shopping
298,:NFS:CW:vadgaon(bk) pune Pune ,Cash Withdrawal
299,RupayPOS:SILVER FORK VENTURES PUNE ,Shopping
300,RupayPOS:JAI MAHALAXMI PUNE ,Ignore
301,RupayECom:Zomato Media Private Lidelhi DLIN:,Food
302,To MinBal Chg.,Ignore
303,Nagpuri Tadka,Food
304,RupayPOS:BHARAT PETROLEUM PUNE ,Travel
305,SAI CREME CAFE,Food
306,Minimum Balance Charges Weekly Charges,Ignore
307,RupayECom:mahatraficechalanSBIePaMumbai ,Fine
308,PIZZA HUT,Food
309,UPI-KISANGOPAL KANA-PYTM0123456--Payment from PhonePe,UPI
310,CAFE DURGA SINHGAD ROAD,Food
311,The belgian waffle,Food
312,:NFS:CW:FC ROAD BRANCH I PUNE ,Cash Withdrawal
313,:NFS:CW:SINHGAD ROAD PUNE ,Cash Withdrawal
314,:NFS:CW:SINHGARH TECHNICAL EDUCPUNE ,Cash Withdrawal
315,Nice xerox,Other
316,RupayPOS:MAC ENTERPRISES PUNE MAIN:,Shopping
317,:NFS:CW:KASBAPETH PUNE MHIN:,Cash Withdrawal
318,RupayECom:AMAZON Mumbai mhIN:,Shopping
319,RupayPOS:NEW POONA BAKERY PUNE MHIN:,Food
320,:NFS:CW:SINHGAD ROAD BRANCH PUNE MHIN:,Cash Withdrawal
321,:NFS:CW:SINHGAD ROAD PUNE MHIN:,Cash Withdrawal
322,:NFS:CW:SBI DHAYARI PUNE PUNE CITY MHIN:,Cash Withdrawal
323,RupayPOS:NANDED TYRES PUNE MAIN:,Automobile
324,Caramamellas cake,Food
325,Tata sky recharge,Recharge
326,Idea recharge,Recharge
327,RupayPOS:MEHROFI TRADERS PUNE MHIN:,Automobile
328,RupayPOS:ANGEL BEAUTY PUNE MHIN:,Ignore
329,Vodafone recharge,Recharge
330,Dish TV recharge,Recharge
331,RupayECom:WWW OLACABS COM GURGAON HRIN:,Travel
332,OLACABS PVT LTD,Travel
333,OLACABS,Travel
334,Meenakshi Garde,Food
335,RupayECom:BOOKMYSHOW Mumbai MHIN:,Entertainment
336,Green Mart,Shopping
337,RupayPOS:INSTAKART PUNE MAIN:,Ignore
338,FAASOS FOOD,Food
339,UPI-Paytm Marketpla-PYTM0123456--Oid9665767923@PaytmM,Paytm
340,RupayPOS:ANGEL BEAUTY PUNE MHIN:,Ignore
341,UPI-Yogesh Medicals-UTIB0000000-918020110872063-UPI,Health Care
342,THE CHOCOLATE ROOM,Food
343,RupayPOS:INNOVATIVE RETAIL CONC BANGALORE TNIN:,Shopping
344,RupayECom:PayUPayUMoney Gurgaon ININ:,Shopping
345,UPI-Paytm-PYTM0123456--Oid9932032620@PaytmA,Paytm
346,Airtel,Recharge
347,Seasons Mall Parking,Shopping
348,VISAECom:SAVITRIBAI PHULE PUNE PUNE IND:,Education
349,09-04-2019 : CHG : CARD AMC APR19  Other Charges,Ignore
350,VISAPOS:3S SERVICE STATION PUNE IND:,Travel
351,VISAPOS:CHINTAMANI SUPER PUNE IND:,Ignore
352,VISAPOS:3S SERVICE STATION PUNE IND:,Travel
353,VISAECom:Jubilant FoodWorks Lim Noida IND:,Food
354,VISAECom:Uber India System Pvt Navi Mumbai IND:,Travel
355,VISAECom:Uber India System Pvt Navi Mumbai IND:,Travel
356,VISAECom:Uber India System Pvt Navi Mumbai IND:,Travel
357,VISAPOS:BABJI PETROLEUM PUNE IND:,Travel
358,Mankar Bandhu,Food
359,VISAPOS:MC DONALDS PUNE IND:,Food
360,VISAECom:Uber India System Pvt Navi Mumbai IND:,Travel
361,VISAPOS:3S SERVICE STATION PUNE IND:,Travel
362,VISAPOS:VARDHAMAN PUNE IND:,Ignore
363,:NFS:CW:BOI STES AMBEGAON PUNE MHIN:,Cash Withdrawal
364,VISAECom:ONE97 COMMUNICATIONS L NOIDA IND:,Paytm
365,VISAECom:One97 Communications L Noida IND:,Paytm
366,Amrut Bhel,Food
367,VISAECom:Uber India System Pvt Navi Mumbai IND:,Travel
368,Sainath kanaval,Food
369,VISAECom:Zaak Epayment Services Mumbai IND:,Ignore
370,VISAECom:Zaak Epayment Services Mumbai IND:,Ignore
371,VISAECom:ONE97 COMMUNICATIONS L NOIDA IND:,Paytm
372,VISAECom:Zaak Epayment Services Mumbai IND:,Ignore
373,VISAECom:Zaak Epayment Services Mumbai IND:,Ignore
374,VISAECom:Zaak Epayment Services Mumbai IND:,Ignore
375,VISAECom:Zaak Epayment Services Mumbai IND:,Ignore
376,VISAECom:SWIGGY MUMBAI IND:,Food
377,To MinBal Chg.,Ignore
378,BEWAKOOF BRANDS,Shopping
379,BewakoofBrandsPvtLtd,Shopping
380,IB-TRF-To A-C SBPUB,Ignore
381,VISAECom:PAYTM Noida IND:,Paytm
382,VISAECom:PAYTM NOIDA IND:,Paytm
383,HARIOM STATIONERY,Other
384,:NFS:CW:SHOP NO5 TO10 GANGA BHAPUNE MHIN:,Cash Withdrawal
385,VISAECom:PAYTM Noida IND:,Paytm
386,VISAECom:SAVITRIBAI PHULE PUNE PUNE ,Education
387,VISAECom:SAVITRIBAI PHULE PUNE PUNE ,Education
388,SWIGGY,Food
389,VISAECom:SAVITRIBAI PHULE PUNE PUNE ,Education
390,VISAECom:SAVITRIBAI PHULE PUNE PUNE ,Education
391,VISAECom:ONE97 COMMUNICATIONS L NOIDA ,Paytm
392,VISAECom:PAYTM NOIDA ,Paytm
393,VISAECom:PAYTM NOIDA ,Paytm
394,VISAECom:PAYTM Noida ,Paytm
395,VISAECom:SAVITRIBAI PHULE PUNE PUNE ,Education
396,VISAECom:SAVITRIBAI PHULE PUNE PUNE ,Education
397,#S service station,Travel
398,VISAPOS:BPCL MITALI SERVICE S PUNE ,Travel
399,VISAPOS:BURGER KING INDIA PRIV PUNE ,Food
400,ANAND WADEWALE,Food
401,UPI-Laxmi Keshav Sn-PYTM0123456--Oid20191010140758004,UPI
402,UPI-AirtelM E111932-AIRP0000001-1048957453-Remarks,UPI
403,URO FITNESS CLUB,Health Care
404,UPI-N INFINITY ENGI-COSB0000001--TOC 1st instalment,UPI
405,UPI-Anurag Mandal-NA,UPI
406,UPI-Jogmaya Super M-UPI,UPI
407,UPI-Master ABHIJEET--DB,UPI
408,UPI-Jogmaya Super M-Sugar,UPI
409,UPI-AMAZON SELLER S-UPI,UPI
410,UPI-AMAZON SELLER S-UPI,UPI
411,UPI-AMAZON-UTIB0000100-You are paying for a,UPI
412,UPI-ANUSHREE BANERJ,UPI
413,UPI-DEVIAL MANGILAL-PYTM0123456--Oid20191028201507003,UPI
414,UPI-MALLINATH BALAJ-PYTM0123456--Oid20191116101739003,UPI
415,UPI-BHAVYA  SHARMA-UPI,UPI
416,UPI-Google Pay-Sold by UDEMY INC,UPI
417,UPI-Master ROHIT GA-UPI,UPI
418,Saiba Amrutulya,Food
419,UPI-New pawan super-Milk,UPI
420,UPI-BharatPe Mercha-ENGINEERS CHAI,UPI
421,:NFS:CW:SINHAGAD RD VADGAON PUNE MHIN:,Cash Withdrawal
422,UPI-Kapil Pan Shop-NA,UPI
423,UPI-Digital Corner-PYTM0123456-Oid20191219161514003,UPI
424,UPI-KIRAN APPA KAMB-UPI,UPI
425,To MinBal Chg.,Ignore
426,UPI-MAKE MY TRIP IN-Payment Request from,UPI
427,Snacks Cafe,Food
428,UPI-JYOTI PETROLEUM-PYTM0123456--Oid20200115190038112,UPI
429,UPI-ADITEE NIKET KS-Rangla Punjab,UPI
430,UPI-Master SHUBHAM -Honda,UPI
431,UPI-Paytm Marketpla-PYTM0123456--Oid10148333156@Paytm,UPI
432,UPI-Anurag Mandal-Maaz ke,UPI
433,RupayPOS:YOGAYOG KONDE DESHMUKH PUNE MHIN:,Ignore
434,:NFS:CW:SINHGARH TECHNICAL EDU PUNE MHIN:,Cash Withdrawal
435,UPI-MOHAMMED MAAZ-For Yewale,UPI
436,ABB RSHG23-RSURCHGDT 1-22-2020,Ignore
437,RupayPOS:DAJINCHA DHABA PUNE MHIN:,Food
438,UPI-BharatpeMerchan-ICIC0000001 Pay To Rolls Mania S,UPI
439,UPI-ICICIMerchantSe-ICIC0000001-NA,UPI
440,RupayECom:SAVITRIBAI PHULE PUNE UPUNE MHIN:,Education
441,UPI-ATOM TECHNOLOGI-HDFC0000240-Atom,UPI
442,Zomato,Food
443,UPI-DIVYA GIRISH KH-SBIN0011514--UPI,UPI
444,UPI-BharatPe Mercha-YESB0000004-BHARAT BHAVAN G,UPI
445,UPI-BharatpeMerchan-ICIC0000001Verified Merchant,UPI
446,UPI-Maharaja Copier-UTIB0000000-NA,UPI
447,RupayPOS:BIG BASKET BANGALORE KAIN:,Food
448,Uro Fitnesss Club,Health Care
449,UPI-Paytm Utilities-PYTM0123456--Oid10431615252@ONE97,UPI
450,KFC R Deccan M-YESB0YBLUPI-NA,Food
451,RupayPOS:VENKYS XPRS PUNE MAIN:,Food
452,ice cream,Food
453,dominos,Food
